1,A Curious Thing (Update) - Keeks1664.txt,,"she replied evenly,"
5,A Story - Dalton Mars.txt,,he said suddenly
6,A Story - Dalton Mars.txt,,he said softly.
6,A Curious Thing (Update) - Keeks1664.txt,,"Neville started excitedly,"
7,After the End - writeallnight.txt,,she said quietly.
8,After the End - writeallnight.txt,,he said hollowly.
9,After the End - writeallnight.txt,,he said quietly.
9,A Curious Thing (Update) - Keeks1664.txt,,Hermione muttered quietly
10,After the End - writeallnight.txt,,he repeated silently
11,After the End - writeallnight.txt,,he said quietly
12,All Because Of You - snowingstone.txt,,she said safely
14,Behind the Mask - everlovingdeer.txt,,he said jovially
15,Behind the Mask - everlovingdeer.txt,,he started steadily
15,After the End - writeallnight.txt,,Ron said incredulously.
16,Beyond Fear or Reason - Silirt.txt,,he muttered quickly
16,After the End - writeallnight.txt,,Ron said finally.
17,Beyond Fear or Reason - Silirt.txt,,she said unexpectedly.
17,After the End - writeallnight.txt,,George said flatly.
19,Contractual Obligations - nightkitty555.txt,,she said gently.
20,Days of Black - A.A.Farrow.txt,,he says softly.
20,After the End - writeallnight.txt,,Hermione said softly.
21,Days of Black - A.A.Farrow.txt,,"she says softly,"
22,Detention - StarsAboveInMyEyes.txt,,he said solemnly
22,After the End - writeallnight.txt,,Ron said indignantly.
24,Detention - StarsAboveInMyEyes.txt,,he began quietly.
24,After the End - writeallnight.txt,,Ron laughed heartily
25,After the End - writeallnight.txt,,Ron said excitedly.
26,After the End - writeallnight.txt,,Ron said loudly.
27,Detention - StarsAboveInMyEyes.txt,,"he murmured darkly,"
27,After the End - writeallnight.txt,,Ron asked worriedly.
28,After the End - writeallnight.txt,,"Hermione said automatically,"
30,Detention - StarsAboveInMyEyes.txt,,he reasoned tiredly.
30,After the End - writeallnight.txt,,Granger asked cautiously.
31,Detention - StarsAboveInMyEyes.txt,,he said coldly.
31,After the End - writeallnight.txt,,"Granger asked warily,"
32,Detention - StarsAboveInMyEyes.txt,,he muttered dejectedly.
32,After the End - writeallnight.txt,,"Hermione said carefully,"
33,Do the Impossible - DolbyDigital.txt,,she says softly.
33,After the End - writeallnight.txt,,"Harry asked, gently"
34,After the End - writeallnight.txt,,Ron said grumpily.
35,Do the Impossible - DolbyDigital.txt,,he says slowly.
35,After the End - writeallnight.txt,,Ron paced anxiously
36,After the End - writeallnight.txt,,Hermione said nervously.
37,After the End - writeallnight.txt,,"Ron said, finally"
38,Everybody's Changing - chaos for the fly.txt,,she sighed longingly
38,After the End - writeallnight.txt,,Hermione said gloomily.
39,After the End - writeallnight.txt,,Ginny said wisely.
40,Everybody's Changing - chaos for the fly.txt,,"he said coolly,"
41,All Because Of You - snowingstone.txt,,"Hermione said softly,"
