Text,Frequency per 10k
K01_Carrie.txt,741.8961
K02_Salem's_Lot.txt,765.78156
K03_The_Shining.txt,844.632
K04_Rage.txt,841.16815
K05_The_Long_Walk.txt,887.03156
K06_The_Dead_Zone.txt,777.3736
K07_Firestarter.txt,847.1137
K08_Roadwork.txt,778.07806
K09_Cujo.txt,872.25104
K10_The_Running_Man.txt,749.1451
K11_Rita_Hayworth.txt,819.7458
K12_Apt_Pupil.txt,845.68365
K13_The_Body.txt,871.5135
K14_The_Breathing_Method.txt,857.87085
K15_Christine.txt,864.4125
K16_Pet_Sematary.txt,888.4578
K17_The_Eyes_of_the_Dragon.txt,873.93463
K18_Thinner.txt,864.22986
K19_It.txt,869.58594
K20_DT2_The_Drawing_of_the_Three.txt,873.96204
K21_Misery.txt,912.9194
K22_The_Tommyknockers.txt,862.6124
K23_The_Dark_Half.txt,870.3056
K24_The_Stand.txt,842.12036
K25_The_Langoliers.txt,871.9883
K26_Secret_Window_Secret_Garden.txt,895.47375
K27_The_Library_Policeman.txt,824.25165
K28_The_Sun_Dog.txt,893.3886
K29_DT3_The_Waste_Lands.txt,815.2915
K30_Needful Things.txt,832.84863
K31_Gerald's_Game.txt,940.1015
K32_Dolores_Claiborne.txt,968.764
K33_Insomnia.txt,848.60614
K34_Rose_Madder.txt,887.91626
K35_The_Green_Mile.txt,875.9611
K36_Desperation.txt,874.7314
K37_The_Regulators.txt,868.5646
K38_DT4_Wizard_and_Glass.txt,835.7498
K39_Bag_of_Bones.txt,838.0355
K40_The_Girl_Who_Loved_Tom_Gordon.txt,945.16016
K41_Low_Men_in_Yellow_Coats.txt,829.46106
K42_Hearts_In_Atlantis.txt,823.5273
K43_Dreamcatcher.txt,881.26605
K44_From_a_Buick_8.txt,893.14734
K45_DT1_The_Gunslinger.txt,790.3873
K46_DT5_Wolves_of_the_Calla.txt,845.3886
K47_DT6_Song_of_Susannah.txt,822.4312
K48_DT7_The_Dark_Tower.txt,855.16235
K49_The_Colorado_Kid.txt,865.80725
K50_Cell.txt,807.4754
K51_Lisey's_Story.txt,902.2364
K52_Blaze.txt,805.2157
K53_Duma_Key.txt,823.71136
K54_Under_the_Dome.txt,819.08325
K55_1922.txt,833.317
K56_Big_Driver.txt,816.6214
K57_Fair_Extension.txt,744.6217
K58_A_Good_Marriage.txt,853.0047
K59_11_22_63.txt,775.5891
K60_DTX_The_Wind_Through_the_Keyhole.txt,829.1872
K61_Joyland.txt,798.76324
K62_Doctor_Sleep.txt,833.12177
K63_Mr_Mercedes.txt,800.4548
K64_Revival.txt,794.97876
K65_Finders Keepers.txt,830.6261
K66_End_of_Watch.txt,816.2234
K67_The_Outsider.txt,782.0692
K68_Elevation.txt,843.41364
K69_The_Institute.txt,825.23
K70_Mr._Harrigan's_Phone.txt,846.7496
K71_The_Life_of_Chuck.txt,819.1925
K72_If_It_Bleeds.txt,772.64496
K73_Rat.txt,857.9777
