1,A Dustland Fairytale - nothingbutmybones.txt,,She stuttered gently
2,A Dustland Fairytale - nothingbutmybones.txt,,he said quietly
3,A Dustland Fairytale - nothingbutmybones.txt,,"He asked, disbelievingly."
4,A Dustland Fairytale - nothingbutmybones.txt,,"he said quietly,"
5,A Dustland Fairytale - nothingbutmybones.txt,,"he said quietly,"
6,A Dustland Fairytale - nothingbutmybones.txt,,"she asked quietly,"
8,Altering Fate - SaruXIII.txt,,"he whispered huskily,"
8,A Dustland Fairytale - nothingbutmybones.txt,,"She said quietly,"
9,Are you ready to checkout_ - Wylie.txt,,he said calmly
9,A Dustland Fairytale - nothingbutmybones.txt,,"She said quietly,"
10,Are you ready to checkout_ - Wylie.txt,,he asked nonchalantly.
10,A Dustland Fairytale - nothingbutmybones.txt,,"He chuckled quietly,"
11,Are you ready to checkout_ - Wylie.txt,,he stated calmly.
11,A True Friend Indeed - alyssa.t.kraft.txt,,Felicity groaned sleepily
12,"Battle Royale, Maine - Technomad.txt",,he thought savagely.
12,A True Friend Indeed - alyssa.t.kraft.txt,,"Felicity asked, suspiciously."
13,"Battle Royale, Maine - Technomad.txt",,she cooed softly;
13,A True Friend Indeed - alyssa.t.kraft.txt,,"Carrie said, shyly."
15,A True Friend Indeed - alyssa.t.kraft.txt,,"Chris whispered, fiercely."
16,Commala - Vega62a.txt,,she said reflexively.
17,A True Friend Indeed - alyssa.t.kraft.txt,,Felicity said quickly.
18,Dragon Ball Z - Under The Dome - The Freethinker.txt,,he replied groggily.
18,A True Friend Indeed - alyssa.t.kraft.txt,,Felicity said sweetly.
19,Dragon Ball Z - Under The Dome - The Freethinker.txt,,she asked inquisitively.
19,Aelita - Jo The Mage of Breath.txt,,"She stuttered slightly,"
20,ERStand - Rap541.txt,,"he thought darkly,"
21,Aelita - Jo The Mage of Breath.txt,,Waldo stated coldly
22,ERStand - Rap541.txt,,"she said softly,"
22,Aelita - Jo The Mage of Breath.txt,,Waldo said ominously.
23,ERStand - Rap541.txt,,"she said softly,"
24,Altering Fate - SaruXIII.txt,,"Sakura mumbled drowsily,"
25,Evil Waits_.For Anyone - Arigatomina.txt,,"he said slowly,"
26,Evil Waits_.For Anyone - Arigatomina.txt,,"she said softly,"
26,Altering Fate - SaruXIII.txt,,"Naruto said quickly,"
28,Evil Waits_.For Anyone - Arigatomina.txt,,she said softly.
30,Falling For A Monster - Noonerz455.txt,,he asked curiously.
31,Falling For A Monster - Noonerz455.txt,,she asked anxiously.
32,Falling For A Monster - Noonerz455.txt,,he replied angrily.
32,Are you ready to checkout_ - Wylie.txt,,Dean said enthusiastically
33,Are you ready to checkout_ - Wylie.txt,,Roman asked nervously.
36,I'm In Over My Head - ShatteredOnTheInside.txt,,he said soothingly.
37,I'm In Over My Head - ShatteredOnTheInside.txt,,she said quietly.
37,"Ashes, Ashes - Eatsscissors.txt",,Cordelia said dejectedly.
38,I'm In Over My Head - ShatteredOnTheInside.txt,,"she said dreamily,"
39,Ice Tea with Mary Lee - S.C. Little.txt,,"she commented quietly,"
42,In Flames - ayyeight.txt,,"he lies softly,"
45,Lucy's Stand - Flagg1991.txt,,she thought dazedly.
45,"Battle Royale, Maine - Technomad.txt",,Chris agreed completely
46,Lucy's Stand - Flagg1991.txt,,he said simply.
46,Big Bang Theory_ The Stephen King Confluen - Thor2000.txt,,Leonard sighed disgustedly
47,Lucy's Stand - Flagg1991.txt,,"she said numbly,"
47,Big Bang Theory_ The Stephen King Confluen - Thor2000.txt,,Penny hissed frustratedly.
49,Lucy's Stand - Flagg1991.txt,,he said seriously.
51,Masquerade - burningdarkfire.txt,,he whispered dully
53,Masquerade - burningdarkfire.txt,,"he called gently,"
53,Carrie_ Awakening (indef hiatus) - Tricia1985.txt,,Desjardin thought bitterly.
54,Masquerade - burningdarkfire.txt,,she yawned daintily.
54,Carrie_ Awakening (indef hiatus) - Tricia1985.txt,,Lizzi said simultaneously.
55,Masquerade - burningdarkfire.txt,,he said gently.
56,Mystery of Faith - Artemis Rae.txt,,"he said quietly,"
56,Carrie_ Awakening (indef hiatus) - Tricia1985.txt,,Carrie said softly.
57,Mystery of Faith - Artemis Rae.txt,,he said carefully.
58,Mystery of Faith - Artemis Rae.txt,,"she said quietly,"
58,Carrie_ Awakening (indef hiatus) - Tricia1985.txt,,Carrie said cheerfully.
59,Mystery of Faith - Artemis Rae.txt,,"she said slowly,"
59,Carrie_ Awakening (indef hiatus) - Tricia1985.txt,,Estelle said softly.
61,Carrie_ Awakening (indef hiatus) - Tricia1985.txt,,"Estelle said cheerfully,"
62,Carrie_ The Innocence of Evil - Chucky2889.txt,,Hosborne!”she said excitedly.
63,Carrie_ The Innocence of Evil - Chucky2889.txt,,He said nervously.
64,Carrie_ The Innocence of Evil - Chucky2889.txt,,Sarah said laughingly.
65,Rukia - MarieRock.txt,,she started sharply.
65,Carrie_ The Innocence of Evil - Chucky2889.txt,,Rhett said sternly.
66,Rukia - MarieRock.txt,,he questioned frantically.
67,Carrie_ The Innocence of Evil - Chucky2889.txt,,Will said sarcastically.
68,Carrie_ The Innocence of Evil - Chucky2889.txt,,Will said nervously.
69,Rukia - MarieRock.txt,,"he said absently,"
69,Carrie_ The Innocence of Evil - Chucky2889.txt,,Sarah said excitedly.
70,Rukia - MarieRock.txt,,he answered soothingly.
70,Carrie_ The Innocence of Evil - Chucky2889.txt,,Will replied nervously.
72,Carrie_ The Innocence of Evil - Chucky2889.txt,,Will said softly.
73,Tabula Rasa - fleurlicorne.txt,,he howled miserably.
74,Tabula Rasa - fleurlicorne.txt,,he barked impatiently.
75,Dark half of an Italian Boy - Shinigami-cat.txt,,Tino said meekly.
76,The Blue Varient - James Church.txt,,"she said slowly,"
76,Dark half of an Italian Boy - Shinigami-cat.txt,,He said nervously.
77,The Blue Varient - James Church.txt,,"he asked simply,"
78,The Blue Varient - James Church.txt,,he stated flatly
78,Dark half of an Italian Boy - Shinigami-cat.txt,,Feli said happily.
79,The Blue Varient - James Church.txt,,"he began slowly,"
80,The Blue Varient - James Church.txt,,"he began slowly,"
80,"Darling, Don't Fear the Reaper, For Despai - LizzyLovesPink.txt",,Naegi asked worriedly.
81,The Fire Waltz - Rogue Fifty-Two.txt,,"he said calmly,"
81,"Darling, Don't Fear the Reaper, For Despai - LizzyLovesPink.txt",,Shuichi suggested lamely.
85,The Long Walk - fallingwthstyle.txt,,he said sadly
86,The Mist - MarieRock.txt,,she snapped sarcastically.
87,The Mist - MarieRock.txt,,she said absently.
88,Don't Fear The Reaper - gatechic.txt,,Darien said sarcastically.
89,The Mist - MarieRock.txt,,she spat sarcastically.
90,The Mist - MarieRock.txt,,he said quietly.
91,The Mist - MarieRock.txt,,"she asked suddenly,"
92,The Mist - MarieRock.txt,,she asked impatiently.
93,The Mist - MarieRock.txt,,he asked angrily?
93,ERStand - Rap541.txt,,She sighed heavily.
94,Evil Waits_.For Anyone - Arigatomina.txt,,"Relena said absentmindedly,"
95,Evil Waits_.For Anyone - Arigatomina.txt,,"American said quickly,"
96,The Progenitor - HolidayFeartree.txt,,"she said, matter-of-factly."
97,The Progenitor - HolidayFeartree.txt,,she said politely.
97,Evil Waits_.For Anyone - Arigatomina.txt,,Duo muttered sarcastically
98,Evil Waits_.For Anyone - Arigatomina.txt,,Sylvia said quickly.
99,The Testimony of Sean Jensen - BigWGuy.txt,,"he mumbled absently,"
100,Evil Waits_.For Anyone - Arigatomina.txt,,"Une said slowly,"
102,The Travels of John Blues - John C. Blues.txt,,"she said kindly,"
103,Evil Waits_.For Anyone - Arigatomina.txt,,"Trowa said softly,"
104,Evil Waits_.For Anyone - Arigatomina.txt,,"Sylvia said quickly,"
105,FP's Fun - Verzabeth.txt,,Alice asked kindly
106,There and Back Again - paperwingsandbrokenlegs.txt,,he said quietly.
106,FP's Fun - Verzabeth.txt,,She spoke quietly
107,There and Back Again - paperwingsandbrokenlegs.txt,,"he asked, finally."
